[INFO ] 2019-04-20 15:55:02,877 -- WorkingPath: ./CARSKit.Workspace/
[INFO ] 2019-04-20 15:55:02,883 -- Your original rating data path: ./result.csv
[INFO ] 2019-04-20 15:55:02,883 -- Current working path: ./CARSKit.Workspace/
[WARN ] 2019-04-20 15:55:02,885 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2019-04-20 15:55:02,904 -- User, Item, Rating, start:đà nẵng, start:hà nội, start:hồ chí minh, price:cheap, price:expensive, price:reasonable, date:weekday, date:weekend, duration:3, duration:5, :na
[INFO ] 2019-04-20 15:55:02,919 -- Data transformaton completed (from Compact to Binary format). See new rating file: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,931 -- Dataset: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,933 -- DataPath: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,967 -- Rating data set has been successfully loaded.
[INFO ] 2019-04-20 15:55:02,970 -- 
/***********************************************************************
 *
 * Dataset: ./CARSKit.Workspace/train.csv
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 102
 * Item amount: 30
 * Rate amount: 579
 * Context dimensions: 5 (start, price, date, duration, )
 * Context conditions: 11 (start: 3, price: 3, date: 2, duration: 2, : 1)
 * Context situations: 16
 * Data density: 0.5256%
 * Scale distribution: [4.0 x 108, 4.5 x 361, 3.5 x 110]
 * Average value of all ratings: 4.216753
 * Standard deviation of all ratings: 0.395457
 * Mode of all rating values: 4.500000
 * Median of all rating values: 4.500000
 *
 ***********************************************************************/
[INFO ] 2019-04-20 15:55:02,972 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2019-04-20 15:55:02,976 -- Fold [1]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,978 -- Fold [2]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,979 -- Fold [3]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,980 -- Fold [4]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,982 -- Fold [5]: training amount: 464, test amount: 115
[DEBUG] 2019-04-20 15:55:03,380 -- CAMF_CU fold [5] iter 85: loss = 0.16449049, delta_loss = 3.1281836E-4, learn_rate = 0.26019755
[DEBUG] 2019-04-20 15:55:03,381 -- CAMF_CU fold [2] iter 94: loss = 0.16777755, delta_loss = 1.8803195E-4, learn_rate = 0.19221514
[DEBUG] 2019-04-20 15:55:03,381 -- CAMF_CU fold [5] iter 86: loss = 0.16420776, delta_loss = 2.827369E-4, learn_rate = 0.27320743
[DEBUG] 2019-04-20 15:55:03,382 -- CAMF_CU fold [2] iter 95: loss = 0.16758622, delta_loss = 1.9133685E-4, learn_rate = 0.2018259
[DEBUG] 2019-04-20 15:55:03,383 -- CAMF_CU fold [5] iter 87: loss = 0.16394775, delta_loss = 2.600099E-4, learn_rate = 0.2868678
[DEBUG] 2019-04-20 15:55:03,383 -- CAMF_CU fold [2] iter 96: loss = 0.16739112, delta_loss = 1.950936E-4, learn_rate = 0.2119172
[DEBUG] 2019-04-20 15:55:03,384 -- CAMF_CU fold [5] iter 88: loss = 0.16370696, delta_loss = 2.407824E-4, learn_rate = 0.3012112
[DEBUG] 2019-04-20 15:55:03,384 -- CAMF_CU fold [2] iter 97: loss = 0.16719197, delta_loss = 1.9915824E-4, learn_rate = 0.22251306
[DEBUG] 2019-04-20 15:55:03,385 -- CAMF_CU fold [5] iter 89: loss = 0.16348678, delta_loss = 2.2017464E-4, learn_rate = 0.31627175
[DEBUG] 2019-04-20 15:55:03,385 -- CAMF_CU fold [5] iter 90: loss = 0.16329667, delta_loss = 1.9011344E-4, learn_rate = 0.33208534
[DEBUG] 2019-04-20 15:55:03,386 -- CAMF_CU fold [5] iter 91: loss = 0.1631622, delta_loss = 1.3447675E-4, learn_rate = 0.34868962
[DEBUG] 2019-04-20 15:55:03,386 -- CAMF_CU fold [5] iter 92: loss = 0.1631467, delta_loss = 1.5486927E-5, learn_rate = 0.3661241
[DEBUG] 2019-04-20 15:55:03,386 -- CAMF_CU fold [5] iter 93: loss = 0.16341344, delta_loss = -2.6673026E-4, learn_rate = 0.3844303
[DEBUG] 2019-04-20 15:55:03,387 -- CAMF_CU fold [5] iter 94: loss = 0.16331497, delta_loss = 9.8469645E-5, learn_rate = 0.19221514
[DEBUG] 2019-04-20 15:55:03,387 -- CAMF_CU fold [5] iter 95: loss = 0.16218196, delta_loss = 0.0011330101, learn_rate = 0.2018259
[DEBUG] 2019-04-20 15:55:03,387 -- CAMF_CU fold [5] iter 96: loss = 0.16160215, delta_loss = 5.7980284E-4, learn_rate = 0.2119172
[DEBUG] 2019-04-20 15:55:03,388 -- CAMF_CU fold [5] iter 97: loss = 0.16120437, delta_loss = 3.977853E-4, learn_rate = 0.22251306
[DEBUG] 2019-04-20 15:55:03,388 -- CAMF_CU fold [5] iter 98: loss = 0.16089335, delta_loss = 3.110216E-4, learn_rate = 0.23363872
[DEBUG] 2019-04-20 15:55:03,389 -- CAMF_CU fold [5] iter 99: loss = 0.16061753, delta_loss = 2.7582224E-4, learn_rate = 0.24532065
[DEBUG] 2019-04-20 15:55:03,389 -- CAMF_CU fold [5] iter 100: loss = 0.16035512, delta_loss = 2.624093E-4, learn_rate = 0.2575867
[DEBUG] 2019-04-20 15:55:03,389 -- CAMF_CU fold [5] evaluate test data ... 
[DEBUG] 2019-04-20 15:55:03,390 -- CAMF_CU fold [5] has candidate items: 30
[DEBUG] 2019-04-20 15:55:03,393 -- CAMF_CU fold [2] iter 98: loss = 0.1669886, delta_loss = 2.0336971E-4, learn_rate = 0.23363872
[DEBUG] 2019-04-20 15:55:03,394 -- CAMF_CU fold [2] iter 99: loss = 0.16678108, delta_loss = 2.0751375E-4, learn_rate = 0.24532065
[DEBUG] 2019-04-20 15:55:03,394 -- CAMF_CU fold [2] iter 100: loss = 0.16656981, delta_loss = 2.11262E-4, learn_rate = 0.2575867
[DEBUG] 2019-04-20 15:55:03,394 -- CAMF_CU fold [2] evaluate test data ... 
[DEBUG] 2019-04-20 15:55:03,395 -- CAMF_CU fold [2] has candidate items: 30
[DEBUG] 2019-04-20 15:55:03,402 -- CAMF_CU fold [1] iter 99: loss = 0.17495002, delta_loss = 2.2601543E-4, learn_rate = 0.24532065
[DEBUG] 2019-04-20 15:55:03,402 -- CAMF_CU fold [1] iter 100: loss = 0.17472655, delta_loss = 2.2347043E-4, learn_rate = 0.2575867
[DEBUG] 2019-04-20 15:55:03,403 -- CAMF_CU fold [1] evaluate test data ... 
[DEBUG] 2019-04-20 15:55:03,403 -- CAMF_CU fold [1] has candidate items: 30
[DEBUG] 2019-04-20 15:55:03,417 -- CAMF_CU fold [5] has writeen item recommendations to ./CARSKit.Workspace/CAMF_CU-top-1000-items fold [5].txt
[DEBUG] 2019-04-20 15:55:03,422 -- CAMF_CU fold [1] has writeen item recommendations to ./CARSKit.Workspace/CAMF_CU-top-1000-items fold [1].txt
[DEBUG] 2019-04-20 15:55:03,422 -- CAMF_CU fold [3] has writeen item recommendations to ./CARSKit.Workspace/CAMF_CU-top-1000-items fold [3].txt
[DEBUG] 2019-04-20 15:55:03,423 -- CAMF_CU fold [5]: Pre5: 0.025354,Pre10: 0.027298, Pre1000: 0.001053, Rec5: 0.124242, Rec10: 0.266667, Rec1000: 1.000000, AUC5: 0.494066, AUC10: 0.493056, AUC1000: 0.441186, MAP5: 0.043157, MAP10: 0.061708, MAP1000: 0.100347, NDCG5: 0.063615, NDCG10: 0.109518,NDCG1000: 0.279186,MRR5: 0.044419, MRR10: 0.063602,MRR1000: 0.101123	Time: 00:00, 00:00
[DEBUG] 2019-04-20 15:55:03,423 -- CAMF_CU fold [3]: Pre5: 0.056974,Pre10: 0.042769, Pre1000: 0.001080, Rec5: 0.271795, Rec10: 0.399231, Rec1000: 1.000000, AUC5: 0.488590, AUC10: 0.535121, AUC1000: 0.529410, MAP5: 0.124291, MAP10: 0.141367, MAP1000: 0.173132, NDCG5: 0.162241, NDCG10: 0.203701,NDCG1000: 0.343059,MRR5: 0.132239, MRR10: 0.148675,MRR1000: 0.178944	Time: 00:00, 00:00
[DEBUG] 2019-04-20 15:55:03,423 -- CAMF_CU fold [1]: Pre5: 0.045370,Pre10: 0.041319, Pre1000: 0.001051, Rec5: 0.216435, Rec10: 0.400463, Rec1000: 1.000000, AUC5: 0.484375, AUC10: 0.513053, AUC1000: 0.537594, MAP5: 0.083025, MAP10: 0.108399, MAP1000: 0.142027, NDCG5: 0.117097, NDCG10: 0.177572,NDCG1000: 0.318751,MRR5: 0.087076, MRR10: 0.112836,MRR1000: 0.145141	Time: 00:00, 00:00
[DEBUG] 2019-04-20 15:55:03,423 -- CAMF_CU fold [4] evaluates progress: 100 / 70
[DEBUG] 2019-04-20 15:55:03,424 -- CAMF_CU fold [4] evaluates progress: 100 / 70
[DEBUG] 2019-04-20 15:55:03,424 -- CAMF_CU fold [4] has writeen item recommendations to ./CARSKit.Workspace/CAMF_CU-top-1000-items fold [4].txt
[DEBUG] 2019-04-20 15:55:03,424 -- CAMF_CU fold [2] has writeen item recommendations to ./CARSKit.Workspace/CAMF_CU-top-1000-items fold [2].txt
[DEBUG] 2019-04-20 15:55:03,425 -- CAMF_CU fold [4]: Pre5: 0.033571,Pre10: 0.039762, Pre1000: 0.001012, Rec5: 0.162500, Rec10: 0.388095, Rec1000: 1.000000, AUC5: 0.497321, AUC10: 0.476769, AUC1000: 0.533707, MAP5: 0.082778, MAP10: 0.111571, MAP1000: 0.145488, NDCG5: 0.102259, NDCG10: 0.173970,NDCG1000: 0.317099,MRR5: 0.083135, MRR10: 0.111872,MRR1000: 0.145624	Time: 00:00, 00:00
[DEBUG] 2019-04-20 15:55:03,426 -- CAMF_CU fold [2]: Pre5: 0.038802,Pre10: 0.039844, Pre1000: 0.001063, Rec5: 0.182292, Rec10: 0.382813, Rec1000: 1.000000, AUC5: 0.476888, AUC10: 0.485677, AUC1000: 0.523651, MAP5: 0.068446, MAP10: 0.093918, MAP1000: 0.128817, NDCG5: 0.098211, NDCG10: 0.162098,NDCG1000: 0.307767,MRR5: 0.077040, MRR10: 0.103070,MRR1000: 0.135832	Time: 00:00, 00:00
[INFO ] 2019-04-20 15:55:03,426 -- Final Results by CAMF_CU, Pre5: 0.040014,Pre10: 0.038198, Pre1000: 0.001052, Rec5: 0.191453, Rec10: 0.367454, Rec1000: 1.000000, AUC5: 0.488248, AUC10: 0.500735, AUC1000: 0.513110, MAP5: 0.080339, MAP10: 0.103393, MAP1000: 0.137962, NDCG5: 0.108685, NDCG10: 0.165372,NDCG1000: 0.313172,MRR5: 0.084782, MRR10: 0.108011,MRR1000: 0.141333, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'

[DEBUG] 2019-04-20 15:55:03,427 -- Have been collected to file: results_all.txt
